Time,Speed
27396,0.80
33688,3.49
38812,4.28
43316,4.87
47500,5.25
51604,5.35
55676,5.39
59640,5.54
63492,5.70
67204,5.91
70860,6.0
74576,5.91
78344,5.83
82084,5.87
85768,5.96
89352,6.12
92908,6.17
96544,6.4
100232,5.95
103916,5.96
107556,6.3
111100,6.19
114608,6.26
118236,6.5
121904,5.98
125564,6.0
129180,6.7
132716,6.21
136236,6.24
139832,6.10
143508,5.97
147148,6.3
150772,6.6
154300,6.22
157812,6.25
161400,6.12
165056,6.0
168708,6.1
172312,6.9
175832,6.24
179336,6.26
182932,6.10
186584,6.1
190228,6.2
193828,6.10
197348,6.24
200856,6.26
204452,6.10
208104,6.1
211756,6.1
215348,6.11
218860,6.25
222360,6.27
225952,6.11
229612,6.0
233252,6.3
236844,6.11
240356,6.25
243852,6.28
247424,6.15
251064,6.3
254708,6.2
258292,6.12
261796,6.26
265288,6.29
268864,6.14
272516,6.1
276144,6.5
279748,6.9
283252,6.26
286740,6.29
290320,6.13
293972,6.1
297600,6.5
301208,6.8
304704,6.28
308196,6.29
311784,6.12
315424,6.3
319076,6.1
322668,6.11
326180,6.25
329680,6.27
333272,6.11
336916,6.2
340576,6.0
344176,6.10
347680,6.26
351184,6.26
354764,6.13
358416,6.1
362060,6.2
365660,6.10
369180,6.24
372688,6.26
376268,6.13
379920,6.1
383564,6.2
387156,6.11
390668,6.25
394184,6.24
397776,6.11
401420,6.2
405060,6.3
408664,6.9
412176,6.25
415672,6.28
419260,6.12
422916,6.0
426544,6.5
430148,6.9
433652,6.26
437160,6.26
440756,6.10
444392,6.4
448036,6.2
451636,6.10
455140,6.26
458632,6.29
462228,6.10
465880,6.1
469520,6.3
473112,6.11
476608,6.28
480104,6.28
483692,6.12
487332,6.3
490968,6.4
494544,6.14
498052,6.26
501540,6.29
505120,6.13
508708,6.12
511376,8.23
513484,10.42
515320,11.96
517032,12.83
518684,13.29
520296,13.62
521820,14.41
523272,15.13
524652,15.91
525976,16.59
527308,16.49
528620,16.74
529884,17.38
531100,18.6
532260,18.93
533412,19.7
534544,19.40
535680,19.33
536784,19.89
537852,20.57
538876,21.45
539900,21.45
540924,21.45
541948,21.45
542940,22.14
543932,22.14
544880,23.17
545808,23.67
546752,23.27
547712,22.88
548656,23.27
549580,23.77
550476,24.51
551368,24.62
552264,24.51
553192,23.67
554092,24.41
554988,24.51
555852,25.42
556716,25.42
557592,25.7
558484,24.62
559364,24.96
560228,25.42
561080,25.78
561928,25.90
562776,25.90
563656,24.96
564520,25.42
565376,25.66
566208,26.40
567040,26.40
567892,25.78
568740,25.90
569604,25.42
570452,25.90
571272,26.79
572084,27.5
